state,slope_angle,elevation_m,soil_type,fault_dist_km,ndvi,road_cut_idx,rainfall_24h_mm,rainfall_72h_mm,soil_sat_pct,pwp_kpa,tilt_rate_deg_day,pga_seismic_g,layer1_susceptibility,layer2_dynamic_trigger,composite_risk_score,landslide_event
Sikkim,48.64,1837.7,1,7.31,0.651,12.3,18.3,36.6,37.2,64.7,0.049,0.025,44.9,17.1,26.8,0
Assam,20.97,216.8,1,1.58,0.527,56.2,173.2,412.3,99.0,132.6,0.092,0.048,35.6,87.0,69.0,1
Nagaland,36.51,1381.0,2,1.39,0.748,5.9,105.2,188.3,94.3,162.7,0.231,0.006,71.8,68.5,69.7,1
Mizoram,32.57,1257.7,2,4.81,0.811,16.4,31.1,72.1,47.8,77.6,0.047,0.04,55.9,27.4,37.4,1
Arunachal Pradesh,43.72,3759.7,1,2.23,0.754,94.8,157.1,351.9,99.0,177.6,0.609,0.02,58.1,85.5,76.0,1
Arunachal Pradesh,39.42,4187.8,3,0.66,0.469,74.5,64.6,130.8,42.3,56.0,0.015,0.014,70.7,39.1,50.1,0
Arunachal Pradesh,48.04,2270.2,2,0.31,0.706,61.3,159.2,225.0,76.3,104.7,0.013,0.025,82.9,74.1,77.2,1
Manipur,22.42,315.3,3,6.98,0.567,20.9,44.3,98.4,49.5,62.2,0.12,0.017,40.3,26.1,31.1,0
Mizoram,32.72,1584.5,1,5.07,0.421,21.9,112.8,175.3,76.7,137.6,0.005,0.035,40.1,62.1,54.4,1
Mizoram,15.8,1820.1,2,2.39,0.68,44.6,2.4,3.5,25.9,40.6,0.265,0.004,50.7,8.2,23.1,0
Arunachal Pradesh,48.43,3080.5,2,10.2,0.726,75.4,206.6,318.0,99.0,134.8,0.353,0.011,73.6,88.4,83.2,1
Assam,10.52,592.9,3,2.38,0.55,0.4,129.8,216.7,86.5,129.0,2.081,0.026,40.7,77.1,64.4,1
Nagaland,22.75,918.5,2,5.58,0.687,4.4,120.2,249.9,79.6,142.0,0.065,0.027,52.0,70.7,64.2,0
Arunachal Pradesh,44.56,1822.0,2,10.79,0.581,87.0,80.2,197.0,82.1,115.6,0.456,0.006,73.2,60.2,64.8,1
Arunachal Pradesh,38.01,3769.2,3,8.27,0.705,81.4,25.1,68.4,34.6,58.4,0.01,0.012,57.5,21.6,34.1,0
