region,cape_j_kg,lifted_index,precipitable_water_mm,wind_shear_0_6km_kts,rh_850hpa_pct,temp_anomaly_c,radar_reflectivity_dbz,rain_rate_mm_hr,rainfall_3h_accum_mm,cloud_top_temp_c,pressure_trend_3h_hpa,wind_gust_kmh,surface_temp_c,layer1_synoptic_instability,layer2_mesoscale_trigger,composite_risk_score,hazard_type
East (Kolkata / Bhubaneswar / Patna),2749.3,2.55,46.0,22.7,88.5,-2.1,46.9,18.7,44.8,-74.8,-0.98,53.6,29.2,55.7,56.7,56.4,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1447.7,2.33,53.3,5.0,62.1,1.51,26.7,3.1,3.8,-27.1,-1.09,30.4,33.7,36.8,23.0,27.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1955.9,1.09,24.3,36.5,80.7,2.34,14.1,6.3,13.2,-20.3,-0.95,62.5,28.7,49.6,21.8,30.2,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1373.8,1.09,37.0,13.2,68.0,1.19,39.9,0.8,1.7,-14.2,0.76,27.3,44.2,38.2,23.6,28.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1988.8,-0.39,32.8,14.2,70.5,0.14,20.6,4.0,7.9,-17.0,-0.1,23.2,29.7,45.1,19.3,27.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1452.8,2.36,56.4,21.0,81.3,-0.13,43.0,6.0,7.5,-36.6,-0.2,61.2,16.2,40.8,38.7,39.4,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2646.8,2.23,48.9,21.3,51.7,3.14,33.8,3.4,5.4,-76.9,-5.35,22.9,33.7,60.1,46.6,50.7,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1689.7,2.02,56.4,24.5,53.5,2.67,34.0,5.1,7.6,-23.8,-1.67,10.0,27.9,48.9,30.0,35.6,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1393.0,2.4,33.3,27.6,76.3,-1.83,26.0,0.6,0.8,-37.5,0.02,10.0,30.6,40.4,23.1,28.3,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),140.2,6.56,26.2,23.4,83.7,1.06,25.0,2.3,5.7,-41.9,-5.39,10.7,36.7,25.3,29.7,28.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2712.7,-0.46,60.6,25.3,71.7,1.22,33.3,7.6,15.4,-52.6,1.2,13.0,37.6,65.8,35.7,44.7,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),344.1,7.52,42.4,47.0,56.4,0.05,31.4,1.5,2.4,-22.0,-1.12,15.0,33.4,27.9,25.8,26.4,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),447.6,4.79,56.9,5.6,78.1,-2.5,29.9,9.2,22.3,18.0,-1.33,18.0,31.7,26.8,23.2,24.3,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2107.2,2.9,41.1,16.5,81.0,-4.02,43.7,17.7,42.3,-58.4,-0.44,31.4,22.9,43.6,42.2,42.6,MODERATE_RAIN_SHOWERS
Northeast (Guwahati / Tawang / Shillong),1301.0,3.16,72.9,20.8,77.2,0.88,31.4,0.6,0.9,0.6,-2.87,10.0,25.1,42.4,20.2,26.8,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),357.4,5.31,58.5,5.0,57.2,-3.22,19.5,0.6,1.0,-21.9,-2.96,12.7,20.1,21.4,19.6,20.1,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),838.1,5.68,39.8,6.7,79.2,-0.65,19.3,1.9,2.7,18.0,1.14,52.4,27.8,24.5,12.0,15.8,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),2625.5,1.02,42.3,6.4,89.4,2.01,52.0,48.5,71.0,-74.7,0.98,21.8,28.5,48.6,55.5,53.4,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),1424.4,4.94,42.3,10.3,68.8,1.42,40.3,5.8,12.8,-6.2,-1.56,32.8,28.0,33.6,29.9,31.0,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1322.5,2.41,26.1,27.5,27.3,-0.81,28.3,0.3,0.4,-7.6,1.32,23.8,26.8,34.0,18.9,23.5,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),764.3,2.91,35.3,8.9,53.3,2.47,35.3,6.1,14.4,1.4,1.68,10.0,35.7,27.3,21.2,23.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2154.1,-0.41,34.2,12.5,33.5,1.66,27.3,0.7,1.8,-54.4,-4.58,36.6,37.7,44.7,37.7,39.8,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1194.3,5.12,45.3,20.7,66.3,-0.57,3.3,0.4,0.5,-10.6,1.28,29.7,40.8,40.6,3.6,14.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1908.1,3.27,30.6,16.5,57.7,3.85,29.0,3.7,7.2,2.7,-0.49,42.8,38.7,42.1,22.2,28.2,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),706.3,4.27,39.9,18.1,61.5,1.57,21.9,0.3,0.4,-16.2,1.77,33.5,28.1,28.1,16.7,20.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),4186.7,-2.01,36.9,34.5,58.2,-1.22,36.3,0.3,0.5,-67.3,1.71,27.6,27.7,74.1,31.2,44.1,MODERATE_RAIN_SHOWERS
Northeast (Guwahati / Tawang / Shillong),2921.2,1.44,43.1,27.5,53.3,-4.02,47.3,27.6,69.2,-68.0,-0.24,23.8,25.1,57.5,56.2,56.6,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),1414.4,2.94,62.6,43.8,49.6,0.99,43.8,4.8,8.2,-52.1,0.43,41.0,31.5,49.2,37.8,41.2,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),1621.9,0.64,57.3,8.2,59.4,-0.61,22.1,10.1,21.8,-21.2,0.86,32.8,32.0,41.7,24.9,30.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),844.0,2.22,23.7,30.7,84.5,0.55,18.8,12.6,24.6,-8.6,2.25,15.2,32.3,33.6,19.7,23.8,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),2004.7,0.68,41.3,6.5,83.0,-0.02,20.5,2.6,5.2,-68.9,0.42,17.4,19.5,43.2,27.5,32.2,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),174.8,5.77,37.8,5.0,64.9,-4.34,22.7,4.1,10.7,-25.9,-1.32,34.8,14.3,15.2,21.6,19.7,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),3375.1,-1.88,32.9,27.8,50.2,-0.14,61.3,29.6,69.6,-59.6,-1.35,35.8,36.5,62.1,61.3,61.6,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1931.6,3.38,72.1,26.5,70.2,-1.93,13.9,10.3,25.5,-35.9,-1.4,19.1,36.7,46.7,21.7,29.2,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),602.6,3.27,34.6,11.1,72.8,-0.62,24.2,0.1,0.2,-55.2,-0.47,32.9,24.2,30.0,27.3,28.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),3325.2,-1.48,35.6,9.9,65.2,-0.77,47.7,18.8,33.2,-57.5,4.5,44.2,15.4,59.9,46.1,50.2,MODERATE_RAIN_SHOWERS
East (Kolkata / Bhubaneswar / Patna),3971.1,-4.13,66.6,25.8,52.6,0.64,52.6,35.1,60.7,-74.9,0.54,15.7,29.0,78.1,53.6,60.9,MODERATE_RAIN_SHOWERS
Northeast (Guwahati / Tawang / Shillong),1678.8,2.11,55.6,7.7,79.4,1.16,21.5,1.1,2.7,-18.1,4.42,17.9,27.3,44.2,16.8,25.0,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),715.4,4.58,35.8,8.7,56.0,1.51,19.3,2.9,4.7,-5.1,2.09,32.7,28.3,26.0,14.5,17.9,NORMAL_STABLE
